francais,fon,pluriel,vu_dans
Vérification…,,,resources/views/alerts/index.blade.php:50
"Vérifier la présence",,,resources/views/layouts/navigation.blade.php:43
"Vérifier maintenant",,,resources/views/alerts/index.blade.php:50
le,,,resources/views/alerts/index.blade.php:56
vous@exemple.com,,,resources/views/auth/register.blade.php:44
"« Vérifier maintenant » affiche les membres qui n'ont pas encore pointé, à relancer vous-même (téléphone). L'envoi automatique de SMS et de rappels n'est pas encore actif : les réglages ci-dessous sont enregistrés en prévision, mais ne déclenchent aucun envoi pour l'instant.",,,resources/views/alerts/index.blade.php:25
"À améliorer",,,resources/views/statistiques-avancees.blade.php:142
"À propos",,,resources/views/components/footer.blade.php:7
Évolution,,,resources/views/statistiques-avancees.blade.php:80
"Évolution des présences",,,resources/views/statistiques-avancees.blade.php:95
Événements,,,resources/views/heatmap/index.blade.php:41
"Événements (30 j)",,,resources/views/alerts/index.blade.php:34
"Êtes-vous sûr de vouloir retirer votre consentement ?",,,resources/views/rgpd/index.blade.php:128
"Êtes-vous sûr de vouloir supprimer ce membre ?",,,resources/views/membres/index.blade.php:189
